date,category,Exports_US$,volume,unit_price
2/1/2020,Artificial Silk & Synthetics,31725000,34224,0.93
2/1/2020,Madeups,60202000,0,
2/1/2020,Other Textiles,54621000,0,
3/1/2020,Raw Cotton,208000,155,
3/1/2020,Cotton Yarn,82393000,33666,2.447365294
3/1/2020,Cotton Cloth,169167000,172929,
3/1/2020,Cotton Crd/Cmd,0,0,
3/1/2020,Non-Cotton Yarn,2064000,893,2.31
3/1/2020,Knitwear,209761000,10721000,19.57
3/1/2020,Bedwear,163689000,28438,5.755995499
3/1/2020,Towels,67322000,15593,4.32
3/1/2020,"Tents, Tarpaulines",10515000,3306,3.18
3/1/2020,Garments,209048000,3403000,61.4
3/1/2020,Artificial Silk & Synthetics,29657000,34807,0.85
3/1/2020,Madeups,53002000,0,
3/1/2020,Other Textiles,42879000,0,
4/1/2020,Raw Cotton,233000,0,
4/1/2020,Cotton Yarn,38772000,16192,2.39451581
4/1/2020,Cotton Cloth,54048000,56645,
4/1/2020,Cotton Crd/Cmd,0,0,
4/1/2020,Non-Cotton Yarn,1113000,496,2.24
4/1/2020,Knitwear,92275000,4598000,20.07
4/1/2020,Bedwear,76795000,13368,5.744688809
4/1/2020,Towels,18326000,4600,3.98
4/1/2020,"Tents, Tarpaulines",6340000,1874,3.38
4/1/2020,Garments,61398000,1024000,60
4/1/2020,Artificial Silk & Synthetics,11750000,14154,0.83
4/1/2020,Madeups,21039000,0,
4/1/2020,Other Textiles,21978000,0,
5/1/2020,Raw Cotton,0,0,
5/1/2020,Cotton Yarn,52000000,23349,2.227076106
5/1/2020,Cotton Cloth,98272000,108490,
5/1/2020,Cotton Crd/Cmd,0,0,
5/1/2020,Non-Cotton Yarn,2037000,841,2.42
5/1/2020,Knitwear,180926000,6548000,27.63
5/1/2020,Bedwear,146055000,24562,5.946380588
5/1/2020,Towels,41655000,10047,4.15
5/1/2020,"Tents, Tarpaulines",9420000,2954,3.19
5/1/2020,Garments,135610000,2309000,58.7
5/1/2020,Artificial Silk & Synthetics,17604000,22500,0.78
5/1/2020,Madeups,34590000,0,
5/1/2020,Other Textiles,32959000,0,
6/1/2020,Raw Cotton,0,0,
6/1/2020,Cotton Yarn,74323000,35984,2.065445754
6/1/2020,Cotton Cloth,130191000,165137,
6/1/2020,Cotton Crd/Cmd,0,0,
6/1/2020,Non-Cotton Yarn,1690000,716,2.36
6/1/2020,Knitwear,221370000,7654000,28.92
6/1/2020,Bedwear,166332000,27680,6.009104046
6/1/2020,Towels,58914000,13931,4.23
6/1/2020,"Tents, Tarpaulines",10496000,3072,3.42
6/1/2020,Garments,184987000,2535000,73
6/1/2020,Artificial Silk & Synthetics,24245000,35027,0.69
6/1/2020,Madeups,42507000,0,
6/1/2020,Other Textiles,44075000,0,
7/1/2020,Raw Cotton,0,0,
7/1/2020,Cotton Yarn,60523000,28448,2.127495782
